"Date","Daily.Confirmed","Total.Confirmed","Daily.Recovered","Total.Recovered","Daily.Deceased","Total.Deceased"
2020-04-26,1607,27890,585,6523,56,881
2020-04-27,1568,29458,580,7103,58,939
2020-04-28,1902,31360,636,7739,69,1008
2020-04-29,1705,33065,690,8429,71,1079
2020-04-30,1801,34866,630,9059,75,1154
2020-05-01,2396,37262,962,10021,77,1231
2020-05-02,2564,39826,831,10852,92,1323
2020-05-03,2952,42778,911,11763,140,1463
2020-05-04,3656,46434,1082,12845,103,1566
2020-05-05,2971,49405,1295,14140,128,1694
2020-05-06,3602,53007,1161,15301,91,1785
2020-05-07,3344,56351,1475,16776,104,1889
2020-05-08,3339,59690,1111,17887,97,1986
2020-05-09,3175,62865,1414,19301,115,2101
2020-05-10,4311,67176,1669,20970,112,2213
2020-05-11,3592,70768,1579,22549,81,2294
2020-05-12,3562,74330,1905,24454,120,2414
2020-05-13,3726,78056,1963,26417,137,2551
2020-05-14,3991,82047,1594,28011,97,2648
2020-05-15,3808,85855,2234,30245,104,2752
2020-05-16,4794,90649,4012,34257,120,2872
2020-05-17,5049,95698,2538,36795,152,3024
2020-05-18,4628,100326,2482,39277,131,3155
2020-05-19,6154,106480,3032,42309,146,3301
2020-05-20,5720,112200,3113,45422,134,3435
2020-05-21,6023,118223,3131,48553,148,3583
2020-05-22,6536,124759,3280,51833,142,3725
2020-05-23,6667,131424,2576,54409,142,3867
2020-05-24,7111,138537,3285,57694,156,4023
2020-05-25,6414,144951,3012,60706,150,4173
2020-05-26,5907,150858,3585,64291,173,4346
2020-05-27,7246,158104,3434,67725,188,4534
2020-05-28,7254,165358,3171,70896,176,4710
2020-05-29,8138,173496,11735,82631,269,4979
2020-05-30,8364,181860,4303,86934,205,5184
2020-05-31,8789,190649,4928,91862,222,5406
2020-06-01,7723,198372,3882,95744,201,5607
2020-06-02,8812,207187,4531,100275,222,5829
2020-06-03,9689,216876,3789,104064,259,6088
2020-06-04,9847,226723,4390,108454,274,6362
2020-06-05,9472,236195,4770,113224,286,6648
2020-06-06,10408,246603,5433,118657,297,6945
2020-06-07,10882,257485,5191,123848,261,7206
2020-06-08,8536,266021,5171,129019,271,7477
2020-06-09,9981,276002,5634,134653,272,7749
2020-06-10,11156,287158,6275,140928,358,8107
2020-06-11,11135,298293,6044,146972,394,8501
2020-06-12,11306,309599,7263,154235,388,8889
2020-06-13,12039,321638,8092,162327,309,9198
2020-06-14,11405,333043,7358,169685,324,9522
2020-06-15,10032,343075,10639,180324,396,9918
2020-06-16,11086,354161,7226,187550,2004,11922
2020-06-17,13108,367269,6890,194440,341,12263
2020-06-18,13829,381098,10741,205181,343,12606
2020-06-19,14740,395838,9029,214210,364,12970
2020-06-20,15918,411753,13974,228184,308,13278
2020-06-21,15151,426904,9075,237259,426,13704
2020-06-22,13560,440464,10879,248138,312,14016
2020-06-23,15656,456120,10462,258600,468,14484
2020-06-24,16868,472988,13089,271689,424,14908
2020-06-25,18205,491193,13983,285672,401,15309
2020-06-26,18255,509448,10246,295918,381,15690
2020-06-27,20142,529590,14229,310147,414,16104
2020-06-28,19610,549200,11631,321778,384,16488
2020-06-29,18339,567539,13497,335275,417,16905
2020-06-30,18256,585795,12565,347840,506,17411
2020-07-01,19429,605224,12064,359904,438,17849
2020-07-02,21947,627171,19999,379903,378,18227
2020-07-03,22718,649889,14417,394320,444,18671
2020-07-04,24018,673907,14746,409066,611,19282
2020-07-05,23942,697849,15829,424895,421,19703
2020-07-06,22500,720349,15315,440210,473,20176
2020-07-07,23147,743496,16836,457046,479,20655
2020-07-08,25561,769057,19508,476554,492,21147
2020-07-09,25790,794847,19408,495962,479,21626
2020-07-10,27762,822609,20289,516251,520,22146
2020-07-11,27757,850366,19981,536232,543,22689
2020-07-12,29106,879472,18198,554430,500,23189
2020-07-13,28178,907650,17683,572113,541,23730
2020-07-14,29917,937567,20977,593090,587,24317
2020-07-15,32607,970174,20646,613736,614,24931
2020-07-16,35468,1005642,22867,636603,680,25611
2020-07-17,34820,1040462,17476,654079,676,26287
2020-07-18,37411,1077873,23583,677662,543,26830
2020-07-19,40235,1118108,22730,700392,675,27505
2020-07-20,36806,1154914,24303,724695,596,28101
2020-07-21,39170,1194084,27589,752284,671,28772
2020-07-22,45601,1239685,31875,784159,1130,29902
2020-07-23,48443,1288128,33326,817485,755,30657
2020-07-24,48894,1337022,32514,849999,761,31418
